"","Status.of.existing.checking.account","Duration.in.months","Credit.history","Purpose","Credit.amount","Savings.account.bonds","Present.employment.since","Installment.rate.in.percentage.of.disposable.income","Personal.status.and.sex","Other.debtors...guarantors","Present.residence.since","Property","Age.in.years","Other.installment.plans","Housing","Number.of.existing.credits.at.this.bank","Job","Number.of.people.being.liable.to.provide.maintenance.for","Telephone","Foreign.worker","Score"
"728","Negative",18,"existing credits paid back duly till now","radio/television",1882,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",25,"bank","rent",2,"skilled employee / official",1,"none","Yes","bad"
"729","0 - 200",48,"all credits at this bank paid back duly","business",6416,"less than 100","more than 7 years",4,"female (divorced/separated/married)","none",3,"unknown / no property",59,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"730","Over 200",24,"critical account/ other credits existing (not at this bank)","business",1275,"more than 1000","1 to 4 years",2,"male (divorced/separated)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"731","0 - 200",24,"delay in paying off in the past","radio/television",6403,"less than 100","less than 1 year",1,"male (single)","none",2,"car or other",33,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"732","Negative",24,"existing credits paid back duly till now","radio/television",1987,"less than 100","1 to 4 years",2,"male (single)","none",4,"real estate",21,"none","rent",1,"unskilled - resident",2,"none","Yes","bad"
"733","0 - 200",8,"existing credits paid back duly till now","radio/television",760,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","guarantor",2,"real estate",44,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"734","No checking account",24,"existing credits paid back duly till now","car (used)",2603,"more than 1000","1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"735","No checking account",4,"critical account/ other credits existing (not at this bank)","car (new)",3380,"less than 100","4 to 7 years",1,"female (divorced/separated/married)","none",1,"real estate",37,"none","own",1,"skilled employee / official",2,"none","Yes","good"
"736","0 - 200",36,"all credits at this bank paid back duly","domestic appliances",3990,"unknown / no savings account","less than 1 year",3,"female (divorced/separated/married)","none",2,"unknown / no property",29,"bank","own",1,"unemployed / unskilled - non-resident",1,"none","Yes","good"
"737","0 - 200",24,"existing credits paid back duly till now","car (used)",11560,"less than 100","1 to 4 years",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","rent",2,"management / self-employed / highly qualified employee / officer",1,"none","Yes","bad"
"738","Negative",18,"existing credits paid back duly till now","car (new)",4380,"100 to 500","1 to 4 years",3,"male (single)","none",4,"car or other",35,"none","own",1,"unskilled - resident",2,"yes, registered under the customers name","Yes","good"
"739","No checking account",6,"critical account/ other credits existing (not at this bank)","car (new)",6761,"less than 100","4 to 7 years",1,"male (single)","none",3,"unknown / no property",45,"none","own",2,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"740","0 - 200",30,"no credits taken / all credits paid back duly","business",4280,"100 to 500","1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",26,"none","rent",2,"unskilled - resident",1,"none","Yes","bad"
"741","Negative",24,"all credits at this bank paid back duly","car (new)",2325,"100 to 500","4 to 7 years",2,"male (single)","none",3,"car or other",32,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
"742","0 - 200",10,"all credits at this bank paid back duly","radio/television",1048,"less than 100","1 to 4 years",4,"male (single)","none",4,"real estate",23,"stores","own",1,"unskilled - resident",1,"none","Yes","good"
"743","No checking account",21,"existing credits paid back duly till now","radio/television",3160,"unknown / no savings account","more than 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"744","Negative",24,"all credits at this bank paid back duly","furniture/equipment",2483,"500 to 1000","1 to 4 years",4,"male (single)","none",4,"real estate",22,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"745","Negative",39,"critical account/ other credits existing (not at this bank)","furniture/equipment",14179,"unknown / no savings account","4 to 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",30,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"746","Negative",13,"critical account/ other credits existing (not at this bank)","business",1797,"less than 100","less than 1 year",3,"male (single)","none",1,"building society savings agreement/ life insurance",28,"bank","own",2,"unskilled - resident",1,"none","Yes","good"
"747","Negative",15,"existing credits paid back duly till now","car (new)",2511,"less than 100","Unemployed",1,"female (divorced/separated/married)","none",4,"car or other",23,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"748","Negative",12,"existing credits paid back duly till now","car (new)",1274,"less than 100","less than 1 year",3,"female (divorced/separated/married)","none",1,"real estate",37,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"749","No checking account",21,"existing credits paid back duly till now","car (used)",5248,"unknown / no savings account","1 to 4 years",1,"male (single)","none",3,"car or other",26,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"750","No checking account",15,"existing credits paid back duly till now","car (used)",3029,"less than 100","4 to 7 years",2,"male (single)","none",2,"car or other",33,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"751","Negative",6,"existing credits paid back duly till now","furniture/equipment",428,"less than 100","more than 7 years",2,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",49,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"752","Negative",18,"existing credits paid back duly till now","car (new)",976,"less than 100","less than 1 year",1,"female (divorced/separated/married)","none",2,"car or other",23,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"753","0 - 200",12,"existing credits paid back duly till now","business",841,"100 to 500","4 to 7 years",2,"female (divorced/separated/married)","none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"none","Yes","good"
"754","No checking account",30,"critical account/ other credits existing (not at this bank)","radio/television",5771,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","none",2,"car or other",25,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"755","No checking account",12,"delay in paying off in the past","repairs",1555,"more than 1000","more than 7 years",4,"male (single)","none",4,"unknown / no property",55,"none","for free",2,"skilled employee / official",2,"none","Yes","bad"
"756","Negative",24,"existing credits paid back duly till now","car (new)",1285,"unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",32,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"757","Over 200",6,"critical account/ other credits existing (not at this bank)","car (new)",1299,"less than 100","1 to 4 years",1,"male (single)","none",1,"real estate",74,"none","own",3,"unemployed / unskilled - non-resident",2,"none","No","good"
"758","Over 200",15,"critical account/ other credits existing (not at this bank)","radio/television",1271,"unknown / no savings account","1 to 4 years",3,"male (single)","none",4,"unknown / no property",39,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"759","No checking account",24,"existing credits paid back duly till now","car (new)",1393,"less than 100","1 to 4 years",2,"male (single)","guarantor",2,"real estate",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"760","Negative",12,"critical account/ other credits existing (not at this bank)","car (new)",691,"less than 100","more than 7 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",35,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"761","No checking account",15,"critical account/ other credits existing (not at this bank)","car (new)",5045,"unknown / no savings account","more than 7 years",1,"female (divorced/separated/married)","none",4,"car or other",59,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"762","Negative",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",2124,"less than 100","1 to 4 years",4,"female (divorced/separated/married)","none",4,"real estate",24,"none","rent",2,"skilled employee / official",1,"none","Yes","bad"
"763","Negative",12,"existing credits paid back duly till now","radio/television",2214,"less than 100","1 to 4 years",4,"male (single)","none",3,"building society savings agreement/ life insurance",24,"none","own",1,"unskilled - resident",1,"none","Yes","good"
"764","No checking account",21,"critical account/ other credits existing (not at this bank)","car (new)",12680,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"unknown / no property",30,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"765","No checking account",24,"critical account/ other credits existing (not at this bank)","car (new)",2463,"100 to 500","4 to 7 years",4,"male (married/widowed)","none",3,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"766","0 - 200",12,"existing credits paid back duly till now","radio/television",1155,"less than 100","more than 7 years",3,"male (married/widowed)","guarantor",3,"real estate",40,"bank","own",2,"unskilled - resident",1,"none","Yes","good"
"767","Negative",30,"existing credits paid back duly till now","furniture/equipment",3108,"less than 100","less than 1 year",2,"male (divorced/separated)","none",4,"building society savings agreement/ life insurance",31,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"768","No checking account",10,"existing credits paid back duly till now","car (used)",2901,"unknown / no savings account","less than 1 year",1,"female (divorced/separated/married)","none",4,"real estate",31,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"769","0 - 200",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",3617,"less than 100","more than 7 years",1,"male (single)","none",4,"car or other",28,"none","rent",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"770","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",1655,"less than 100","more than 7 years",2,"male (single)","none",4,"real estate",63,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"771","Negative",24,"existing credits paid back duly till now","car (used)",2812,"unknown / no savings account","more than 7 years",2,"female (divorced/separated/married)","none",4,"real estate",26,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"772","Negative",36,"critical account/ other credits existing (not at this bank)","education",8065,"less than 100","1 to 4 years",3,"female (divorced/separated/married)","none",2,"unknown / no property",25,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
"773","No checking account",21,"critical account/ other credits existing (not at this bank)","car (used)",3275,"less than 100","more than 7 years",1,"male (single)","none",4,"car or other",36,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"774","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2223,"100 to 500","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",52,"bank","own",2,"skilled employee / official",1,"none","Yes","good"
"775","Over 200",12,"critical account/ other credits existing (not at this bank)","car (new)",1480,"500 to 1000","Unemployed",2,"male (single)","none",4,"unknown / no property",66,"bank","for free",3,"unemployed / unskilled - non-resident",1,"none","Yes","good"
"776","Negative",24,"existing credits paid back duly till now","car (new)",1371,"unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",4,"real estate",25,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
"777","No checking account",36,"critical account/ other credits existing (not at this bank)","car (new)",3535,"less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",37,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"778","Negative",18,"existing credits paid back duly till now","radio/television",3509,"less than 100","4 to 7 years",4,"female (divorced/separated/married)","guarantor",1,"real estate",25,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"779","No checking account",36,"critical account/ other credits existing (not at this bank)","car (used)",5711,"more than 1000","more than 7 years",4,"male (single)","none",2,"car or other",38,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"780","0 - 200",18,"existing credits paid back duly till now","repairs",3872,"less than 100","Unemployed",2,"female (divorced/separated/married)","none",4,"car or other",67,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"781","0 - 200",39,"critical account/ other credits existing (not at this bank)","radio/television",4933,"less than 100","4 to 7 years",2,"male (single)","guarantor",2,"real estate",25,"none","own",2,"skilled employee / official",1,"none","Yes","bad"
"782","No checking account",24,"critical account/ other credits existing (not at this bank)","car (new)",1940,"more than 1000","more than 7 years",4,"male (single)","none",4,"real estate",60,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"783","0 - 200",12,"no credits taken / all credits paid back duly","retraining",1410,"less than 100","1 to 4 years",2,"male (single)","none",2,"real estate",31,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"784","0 - 200",12,"existing credits paid back duly till now","car (new)",836,"100 to 500","less than 1 year",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"bank","own",1,"unskilled - resident",1,"none","Yes","bad"
"785","0 - 200",20,"existing credits paid back duly till now","car (used)",6468,"unknown / no savings account","Unemployed",1,"male (divorced/separated)","none",4,"real estate",60,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"786","0 - 200",18,"existing credits paid back duly till now","business",1941,"more than 1000","1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"787","No checking account",22,"existing credits paid back duly till now","radio/television",2675,"500 to 1000","more than 7 years",3,"male (single)","none",4,"car or other",40,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"788","No checking account",48,"critical account/ other credits existing (not at this bank)","car (used)",2751,"unknown / no savings account","more than 7 years",4,"male (single)","none",3,"car or other",38,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"789","0 - 200",48,"delay in paying off in the past","education",6224,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none","Yes","bad"
"790","Negative",40,"critical account/ other credits existing (not at this bank)","education",5998,"less than 100","1 to 4 years",4,"male (single)","none",3,"unknown / no property",27,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"791","0 - 200",21,"existing credits paid back duly till now","business",1188,"less than 100","more than 7 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",39,"none","own",1,"skilled employee / official",2,"none","Yes","bad"
"792","No checking account",24,"existing credits paid back duly till now","car (used)",6313,"unknown / no savings account","more than 7 years",3,"male (single)","none",4,"car or other",41,"none","own",1,"management / self-employed / highly qualified employee / officer",2,"yes, registered under the customers name","Yes","good"
"793","No checking account",6,"critical account/ other credits existing (not at this bank)","furniture/equipment",1221,"unknown / no savings account","1 to 4 years",1,"male (married/widowed)","none",2,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"794","Over 200",24,"existing credits paid back duly till now","furniture/equipment",2892,"less than 100","more than 7 years",3,"male (divorced/separated)","none",4,"unknown / no property",51,"none","for free",1,"skilled employee / official",1,"none","Yes","good"
"795","No checking account",24,"existing credits paid back duly till now","furniture/equipment",3062,"500 to 1000","more than 7 years",4,"male (single)","none",3,"unknown / no property",32,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"796","No checking account",9,"existing credits paid back duly till now","furniture/equipment",2301,"100 to 500","less than 1 year",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"797","Negative",18,"existing credits paid back duly till now","car (used)",7511,"unknown / no savings account","more than 7 years",1,"male (single)","none",4,"building society savings agreement/ life insurance",51,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","bad"
"798","No checking account",12,"critical account/ other credits existing (not at this bank)","furniture/equipment",1258,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","rent",2,"unskilled - resident",1,"none","Yes","good"
"799","No checking account",24,"delay in paying off in the past","car (new)",717,"unknown / no savings account","more than 7 years",4,"male (married/widowed)","none",4,"car or other",54,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"800","0 - 200",9,"existing credits paid back duly till now","car (new)",1549,"unknown / no savings account","less than 1 year",4,"male (single)","none",2,"real estate",35,"none","own",1,"unemployed / unskilled - non-resident",1,"none","Yes","good"
"801","No checking account",24,"critical account/ other credits existing (not at this bank)","education",1597,"less than 100","more than 7 years",4,"male (single)","none",4,"unknown / no property",54,"none","for free",2,"skilled employee / official",2,"none","Yes","good"
"802","0 - 200",18,"critical account/ other credits existing (not at this bank)","radio/television",1795,"less than 100","more than 7 years",3,"female (divorced/separated/married)","guarantor",4,"real estate",48,"bank","rent",2,"unskilled - resident",1,"yes, registered under the customers name","Yes","good"
"803","Negative",20,"critical account/ other credits existing (not at this bank)","furniture/equipment",4272,"less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",24,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"804","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",976,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"car or other",35,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"805","0 - 200",12,"existing credits paid back duly till now","car (new)",7472,"unknown / no savings account","Unemployed",1,"female (divorced/separated/married)","none",2,"real estate",24,"none","rent",1,"unemployed / unskilled - non-resident",1,"none","Yes","good"
"806","Negative",36,"existing credits paid back duly till now","car (new)",9271,"less than 100","4 to 7 years",2,"male (single)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"807","0 - 200",6,"existing credits paid back duly till now","radio/television",590,"less than 100","less than 1 year",3,"male (married/widowed)","none",3,"real estate",26,"none","own",1,"unskilled - resident",1,"none","No","good"
"808","No checking account",12,"critical account/ other credits existing (not at this bank)","radio/television",930,"unknown / no savings account","more than 7 years",4,"male (single)","none",4,"real estate",65,"none","own",4,"skilled employee / official",1,"none","Yes","good"
"809","0 - 200",42,"all credits at this bank paid back duly","car (used)",9283,"less than 100","Unemployed",1,"male (single)","none",2,"unknown / no property",55,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"810","0 - 200",15,"no credits taken / all credits paid back duly","car (new)",1778,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",1,"real estate",26,"none","rent",2,"unemployed / unskilled - non-resident",1,"none","Yes","bad"
"811","0 - 200",8,"existing credits paid back duly till now","business",907,"less than 100","less than 1 year",3,"male (married/widowed)","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"812","0 - 200",6,"existing credits paid back duly till now","radio/television",484,"less than 100","4 to 7 years",3,"male (married/widowed)","guarantor",3,"real estate",28,"bank","own",1,"unskilled - resident",1,"none","Yes","good"
"813","Negative",36,"critical account/ other credits existing (not at this bank)","car (used)",9629,"less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",24,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"814","Negative",48,"existing credits paid back duly till now","domestic appliances",3051,"less than 100","1 to 4 years",3,"male (single)","none",4,"car or other",54,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"815","Negative",48,"existing credits paid back duly till now","car (new)",3931,"less than 100","4 to 7 years",4,"male (single)","none",4,"unknown / no property",46,"none","for free",1,"skilled employee / official",2,"none","Yes","bad"
"816","0 - 200",36,"delay in paying off in the past","car (new)",7432,"less than 100","1 to 4 years",2,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",54,"none","rent",1,"skilled employee / official",1,"none","Yes","good"
"817","No checking account",6,"existing credits paid back duly till now","domestic appliances",1338,"500 to 1000","1 to 4 years",1,"male (divorced/separated)","none",4,"real estate",62,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"818","No checking account",6,"critical account/ other credits existing (not at this bank)","radio/television",1554,"less than 100","4 to 7 years",1,"female (divorced/separated/married)","none",2,"car or other",24,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"819","Negative",36,"existing credits paid back duly till now","others",15857,"less than 100","Unemployed",2,"male (divorced/separated)","co-Applicant",3,"car or other",43,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"none","Yes","good"
"820","Negative",18,"existing credits paid back duly till now","radio/television",1345,"less than 100","1 to 4 years",4,"male (married/widowed)","none",3,"real estate",26,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
"821","No checking account",12,"existing credits paid back duly till now","car (new)",1101,"less than 100","1 to 4 years",3,"male (married/widowed)","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"822","Over 200",12,"existing credits paid back duly till now","radio/television",3016,"less than 100","1 to 4 years",3,"male (married/widowed)","none",1,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"823","Negative",36,"existing credits paid back duly till now","furniture/equipment",2712,"less than 100","more than 7 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",41,"bank","own",1,"skilled employee / official",2,"none","Yes","bad"
"824","Negative",8,"critical account/ other credits existing (not at this bank)","car (new)",731,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",47,"none","own",2,"unskilled - resident",1,"none","Yes","good"
"825","No checking account",18,"critical account/ other credits existing (not at this bank)","furniture/equipment",3780,"less than 100","less than 1 year",3,"male (divorced/separated)","none",2,"car or other",35,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
"826","Negative",21,"critical account/ other credits existing (not at this bank)","car (new)",1602,"less than 100","more than 7 years",4,"male (married/widowed)","none",3,"car or other",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"827","Negative",18,"critical account/ other credits existing (not at this bank)","car (new)",3966,"less than 100","more than 7 years",1,"female (divorced/separated/married)","none",4,"real estate",33,"bank","rent",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"828","No checking account",18,"no credits taken / all credits paid back duly","business",4165,"less than 100","1 to 4 years",2,"male (single)","none",2,"car or other",36,"stores","own",2,"skilled employee / official",2,"none","Yes","bad"
"829","Negative",36,"existing credits paid back duly till now","car (used)",8335,"unknown / no savings account","more than 7 years",3,"male (single)","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",1,"none","Yes","bad"
"830","0 - 200",48,"delay in paying off in the past","business",6681,"unknown / no savings account","1 to 4 years",4,"male (single)","none",4,"unknown / no property",38,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"831","No checking account",24,"delay in paying off in the past","business",2375,"500 to 1000","1 to 4 years",4,"male (single)","none",2,"car or other",44,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"832","Negative",18,"existing credits paid back duly till now","car (new)",1216,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
"833","Negative",45,"no credits taken / all credits paid back duly","business",11816,"less than 100","more than 7 years",2,"male (single)","none",4,"car or other",29,"none","rent",2,"skilled employee / official",1,"none","Yes","bad"
"834","0 - 200",24,"existing credits paid back duly till now","radio/television",5084,"unknown / no savings account","more than 7 years",2,"female (divorced/separated/married)","none",4,"car or other",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"835","Over 200",15,"existing credits paid back duly till now","radio/television",2327,"less than 100","less than 1 year",2,"female (divorced/separated/married)","none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"none","Yes","bad"
"836","Negative",12,"no credits taken / all credits paid back duly","car (new)",1082,"less than 100","1 to 4 years",4,"male (single)","none",4,"car or other",48,"bank","own",2,"skilled employee / official",1,"none","Yes","bad"
"837","No checking account",12,"existing credits paid back duly till now","radio/television",886,"unknown / no savings account","1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",21,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"838","No checking account",4,"existing credits paid back duly till now","furniture/equipment",601,"less than 100","less than 1 year",1,"female (divorced/separated/married)","none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"none","Yes","good"
"839","Negative",24,"critical account/ other credits existing (not at this bank)","car (used)",2957,"less than 100","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"840","No checking account",24,"critical account/ other credits existing (not at this bank)","radio/television",2611,"less than 100","more than 7 years",4,"male (married/widowed)","co-Applicant",3,"real estate",46,"none","own",2,"skilled employee / official",1,"none","Yes","good"
"841","Negative",36,"existing credits paid back duly till now","furniture/equipment",5179,"less than 100","4 to 7 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"842","No checking account",21,"delay in paying off in the past","car (used)",2993,"less than 100","1 to 4 years",3,"male (single)","none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"none","Yes","good"
"843","No checking account",18,"existing credits paid back duly till now","repairs",1943,"less than 100","less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
"844","No checking account",24,"all credits at this bank paid back duly","business",1559,"less than 100","4 to 7 years",4,"male (single)","none",4,"car or other",50,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"845","No checking account",18,"existing credits paid back duly till now","furniture/equipment",3422,"less than 100","more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"846","0 - 200",21,"existing credits paid back duly till now","furniture/equipment",3976,"unknown / no savings account","4 to 7 years",2,"male (single)","none",3,"car or other",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"847","No checking account",18,"existing credits paid back duly till now","car (new)",6761,"unknown / no savings account","1 to 4 years",2,"male (single)","none",4,"car or other",68,"none","rent",2,"skilled employee / official",1,"none","Yes","bad"
"848","No checking account",24,"existing credits paid back duly till now","car (new)",1249,"less than 100","less than 1 year",4,"male (married/widowed)","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"849","Negative",9,"existing credits paid back duly till now","radio/television",1364,"less than 100","4 to 7 years",3,"male (single)","none",4,"real estate",59,"none","own",1,"skilled employee / official",1,"none","Yes","good"
"850","Negative",12,"existing credits paid back duly till now","radio/television",709,"less than 100","more than 7 years",4,"male (single)","none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"none","Yes","bad"
"851","Negative",20,"critical account/ other credits existing (not at this bank)","car (new)",2235,"less than 100","1 to 4 years",4,"male (married/widowed)","guarantor",2,"building society savings agreement/ life insurance",33,"bank","rent",2,"skilled employee / official",1,"none","No","bad"
"852","No checking account",24,"critical account/ other credits existing (not at this bank)","car (used)",4042,"unknown / no savings account","4 to 7 years",3,"male (single)","none",4,"building society savings agreement/ life insurance",43,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"853","No checking account",15,"critical account/ other credits existing (not at this bank)","radio/television",1471,"less than 100","1 to 4 years",4,"male (single)","none",4,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"854","Negative",18,"all credits at this bank paid back duly","car (new)",1442,"less than 100","4 to 7 years",4,"male (single)","none",4,"unknown / no property",32,"none","for free",2,"unskilled - resident",2,"none","Yes","bad"
"855","No checking account",36,"delay in paying off in the past","car (new)",10875,"less than 100","more than 7 years",2,"male (single)","none",2,"car or other",45,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
"856","No checking account",24,"existing credits paid back duly till now","car (new)",1474,"100 to 500","less than 1 year",4,"male (married/widowed)","none",3,"real estate",33,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
"857","No checking account",10,"existing credits paid back duly till now","retraining",894,"unknown / no savings account","4 to 7 years",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",40,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
